timestamp,name,cpu_pct,mem_used,mem_limit,mem_pct,net_in_out,block_io
2026-08-17T22:21:23,hirewise_mcp,0.08%,89.31MiB,7.604GiB,1.15%,43.9kB,50.8kB,0B,0B
2026-08-17T22:21:23,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,823kB,873kB,0B,0B
2026-08-17T22:21:23,hirewise_redis,0.31%,11.51MiB,7.604GiB,0.15%,11.5MB,10.8MB,0B,0B
2026-08-17T22:21:23,hirewise_db,1.02%,51.18MiB,7.604GiB,0.66%,4.98MB,11.5MB,0B,0B
2026-08-17T22:21:31,hirewise_frontend,1.59%,75.49MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:21:31,hirewise_api,6.85%,146.8MiB,7.604GiB,1.89%,8.88MB,6.84MB,0B,0B
2026-08-17T22:21:31,hirewise_mcp,0.08%,89.3MiB,7.604GiB,1.15%,43.9kB,50.8kB,0B,0B
2026-08-17T22:21:31,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,826kB,877kB,0B,0B
2026-08-17T22:21:31,hirewise_redis,0.33%,11.64MiB,7.604GiB,0.15%,11.5MB,10.8MB,0B,0B
2026-08-17T22:21:31,hirewise_db,0.86%,51.04MiB,7.604GiB,0.66%,5.29MB,12.2MB,0B,0B
2026-08-17T22:21:38,hirewise_frontend,2.14%,75.66MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:21:38,hirewise_api,4.56%,147MiB,7.604GiB,1.89%,9.46MB,7.18MB,0B,0B
2026-08-17T22:21:38,hirewise_mcp,0.09%,89.2MiB,7.604GiB,1.15%,44.2kB,51.2kB,0B,0B
2026-08-17T22:21:38,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,831kB,882kB,0B,0B
2026-08-17T22:21:38,hirewise_redis,0.34%,11.64MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
2026-08-17T22:21:38,hirewise_db,1.81%,51.32MiB,7.604GiB,0.66%,5.54MB,12.8MB,0B,0B
2026-08-17T22:21:45,hirewise_frontend,1.88%,75.46MiB,7.604GiB,0.97%,1.15kB,126B,0B,0B
2026-08-17T22:21:45,hirewise_api,6.81%,147MiB,7.604GiB,1.89%,11.6MB,9.19MB,0B,0B
2026-08-17T22:21:45,hirewise_mcp,0.08%,89.21MiB,7.604GiB,1.15%,44.5kB,51.5kB,0B,0B
2026-08-17T22:21:45,hirewise_worker,0.03%,290.2MiB,7.604GiB,3.73%,835kB,886kB,0B,0B
2026-08-17T22:21:45,hirewise_redis,0.35%,11.51MiB,7.604GiB,0.15%,11.6MB,10.8MB,0B,0B
